receipt_code,item_name,unit_price,price_type,notes,full_barcode
3100067001,PF Changs Meal,6.78,each,,031000670016
3100070011,PF Changs Entree,6.78,each,,031000700119
7114601087,Snapea Crisp,2.38,each,bought 2,071146010871
4826,Mini Cucumbers,1.98,per_lb,bulk/produce - no barcode,N/A (bulk/produce - no barcode)
7279993568,Werthers Popcorn,2.98,each,,072799935689
2840031413,F/L Party Size,5.28,each,,028400314138
7120308323,Umpqua Ice Cream,4.83,each,bought 2,071203083237
7120308751,Umpqua Ice Cream,4.83,each,,071203087518
74616782028,Tastee Fried Rice,4.14,each,,746167820289
85000828595,PureSqz Coconut Water,0.68,each,bought 12,850008285950
2165,Dried Mango Slices,4.18,per_lb,bulk/produce - no barcode,N/A (bulk/produce - no barcode)
7055210518,WinCo Facial Tissue,1.58,each,,070552105188
81005180797,Peelerz Mango,3.09,each,bought 2,810051807974
81017908605,Amos Peelerz Blue Raspberry,3.09,each,,810179086053
3890003033,Dole Fruit Gel,3.24,each,bought 2,038900030339
4400006025,Nabisco Double Stuf Family Size,4.98,each,,044000060251
88620811222,Mushrooms Cup 8oz,2.12,each,,886208112222
1138423223,Zoi Greek Yogurt,3.48,each,bought 2,011384232239
5150000048,Smuckers Ice Cream Topping,3.24,each,,051500000489
7766112511,Litehouse Dressing,6.12,each,,077661125113
74236521685,Horizon Heavy Whipping Cream,6.84,each,,742365216855
2508500328,Chaparros Tamale,5.78,each,,025085003289
74236523295,Horizon Half and Half,6.06,each,,742365232954
2088,Trail Mix Honey Mustard,4.68,per_lb,bulk/produce - no barcode,N/A (bulk/produce - no barcode)
